Date,XLY,XLF,XLK,XLE,XLV,XLI,XLP,XLB,XLU,mr_wealth,mo_wealth,mr_wealth_cross,mo_wealth_cross
2012-06-11,39.263973,7.819952000000001,25.205467000000002,55.250793,33.069439,30.491743,29.112288,30.053304999999998,29.892891,675828.7328347377,1201264.0233773075,2112693.6642178297,672694.5134868857
2012-06-12,39.68647,7.9382649999999995,25.458151,56.032391000000004,33.379428999999995,30.979961,29.249565000000004,30.611155,29.9254,675828.7328347377,1173101.1991938301,2127986.5779591817,672694.5134868857
2012-06-13,39.107841,7.910094,25.304739,55.320263,33.34296,30.669279,29.206671000000004,30.141848,29.933519,675828.7328347377,1191440.5801051874,2153273.9368547145,672694.5134868857
2012-06-14,39.631367,8.005873,25.431076,56.188713,33.844433,30.908946999999998,29.609932,30.389782,30.136652,675828.7328347377,1216808.8182580075,2138424.3638498452,672694.5134868857
2012-06-15,40.020317,8.117963,25.70196,57.26294300000001,33.971848,31.18008,29.658312,30.741444,30.285909999999998,675828.7328347377,1201914.0641421452,2166079.9044036623,672694.5134868857
2012-06-18,40.306038,8.072674000000001,25.892208,56.748089,34.201008,31.251427000000003,29.736063,30.901703,30.400723,675828.7328347377,1236279.7475993426,2143036.9968687575,672694.5134868857
2012-06-19,40.674732,8.208539,26.091518,57.56838199999999,34.512671999999995,31.670616,29.710152,31.489286,30.335112,675828.7328347377,1233748.4593290214,2123007.8268714165,672694.5134868857
2012-06-20,40.628651,8.225522,26.136816,57.341476,34.421009000000005,31.501152,29.554644,31.311221999999997,30.039881,675828.7328347377,1178526.608014522,2131121.412563382,672694.5134868857
2012-06-21,39.743805,8.044369999999999,25.520765,54.994068000000006,33.944340000000004,30.885763,29.209076,30.287403,29.728243,675828.7328347377,1188943.7636710058,2137203.821753976,672694.5134868857
2012-06-22,39.918929999999996,8.117963,25.801614999999998,55.360577,34.301846000000005,30.992786,29.295467,30.447653000000003,29.736448,675828.7328347377,1159746.1970146804,2127217.8342798585,672694.5134868857
